timestamp,soil_moisture,soil_nutrients,soil_ph
2024-06-01,32.5,45.2,6.8
2024-06-02,30.0,46.5,6.7
2024-06-03,29.8,44.9,6.6
2024-06-04,31.0,45.3,6.7
2024-06-05,30.2,45.1,6.8
2024-06-06,29.9,44.8,6.7
2024-06-07,30.1,45.0,6.8
2024-06-08,32.0,46.0,6.6
2024-06-09,31.5,45.7,6.5
2024-06-10,30.8,45.5,6.7
2024-06-11,29.7,44.5,6.8
2024-06-12,31.2,45.8,6.6
2024-06-13,32.3,46.2,6.7
2024-06-14,30.5,45.3,6.8
2024-06-15,29.8,44.9,6.7
2024-06-16,31.0,45.1,6.6
2024-06-17,30.2,45.4,6.8
2024-06-18,29.9,44.6,6.7
2024-06-19,30.1,45.2,6.8
2024-06-20,32.0,46.1,6.5
2024-06-21,31.7,45.8,6.6
2024-06-22,30.9,45.3,6.7
2024-06-23,31.0,46.0,6.8
2024-06-24,32.1,45.9,6.5
2024-06-25,30.7,45.6,6.7
2024-06-26,29.8,44.8,6.6
2024-06-27,31.1,45.5,6.7
2024-06-28,30.3,45.7,6.8
2024-06-29,32.2,46.3,6.6
2024-06-30,31.5,45.8,6.7
