date,temperature,humidity,rainfall
2024-06-01,28.5,65,2.1
2024-06-02,30.0,60,1.8
2024-06-03,29.2,62,0.0
2024-06-04,31.0,64,0.5
2024-06-05,30.5,61,1.2
2024-06-06,29.8,63,0.3
2024-06-07,30.2,60,1.0
2024-06-08,32.0,59,0.8
2024-06-09,31.5,62,1.5
2024-06-10,30.8,64,0.2
2024-06-11,29.7,65,0.0
2024-06-12,31.2,63,1.1
2024-06-13,32.3,60,0.7
2024-06-14,30.5,62,1.3
2024-06-15,29.8,64,0.4
2024-06-16,31.0,61,1.2
2024-06-17,30.2,62,0.9
2024-06-18,29.9,63,1.0
2024-06-19,30.1,60,1.4
2024-06-20,32.0,59,0.6
2024-06-21,31.7,61,1.3
2024-06-22,30.9,62,0.5
2024-06-23,31.0,64,1.1
2024-06-24,32.1,60,0.8
2024-06-25,30.7,63,1.2
2024-06-26,29.8,64,0.7
2024-06-27,31.1,62,1.4
2024-06-28,30.3,61,0.9
2024-06-29,32.2,60,1.5
2024-06-30,31.5,63,0.3
